,statefips,population_percentage,year,pop
31,35,0.006343591915871422,2023,2160228
32,36,0.05959814099451796,2023,20295372
33,37,0.03210242183156689,2023,10932062
34,38,0.002275401581454853,2023,774858
35,39,0.03521457050272876,2023,11991864
36,40,0.012282084447419859,2023,4182504
37,41,0.012916723254020832,2023,4398622
38,42,0.03844229785523771,2023,13091025
39,44,0.003220473474419058,2023,1096690
40,45,0.015702544756100535,2023,5347297
41,46,0.0027314425918269552,2023,930157
42,47,0.020764828564057303,2023,7071192
43,48,0.08939463520698565,2023,30442181
44,49,0.00931424464852193,2023,3171845
45,50,0.001862068155968288,2023,634103
46,51,0.0261155924909049,2023,8893326
47,53,0.023052327774681965,2023,7850171
48,54,0.005463076516856651,2023,1860380
49,55,0.017831982600923876,2023,6072450
50,56,0.0017936682143497545,2023,610810
0,01,0.014970436787955795,2024,5132285
1,02,0.002275529136923347,2024,780115
2,04,0.021689021640862737,2024,7435604
3,05,0.009320243112264008,2024,3195240
4,06,0.12230287192714974,2024,41928849
5,08,0.017756731587958065,2024,6087505
6,09,0.01043140565209895,2024,3576178
7,10,0.0029587464366834407,2024,1014341
8,11,0.002152642869920702,2024,737986
9,12,0.06537436282980477,2024,22412162
10,13,0.03266061127514278,2024,11196972
11,15,0.004202026231372576,2024,1440572
12,16,0.005410322260465776,2024,1854810
13,17,0.037175487433334264,2024,12744798
14,18,0.02075180783610234,2024,7114301
15,19,0.009749782795695034,2024,3342499
16,20,0.008604620010060703,2024,2949905
17,21,0.013632225514201353,2024,4673509
18,22,0.014265135608531945,2024,4890488
19,23,0.004156089479100424,2024,1424824
20,24,0.01857404325233401,2024,6367702
21,25,0.02100358554729542,2024,7200617
22,26,0.03037665340713026,2024,10413967
23,27,0.01654041970468687,2024,5670519
24,28,0.009148016376014133,2024,3136196
25,29,0.018576168057901295,2024,6368431
26,30,0.0032461960416577495,2024,1112887
27,31,0.005987000533527601,2024,2052511
28,32,0.008878474887471824,2024,3043790
29,33,0.004217661846431668,2024,1445933
30,34,0.027189562541505247,2024,9321343
31,35,0.006343591915871422,2024,2174761
32,36,0.05959814099451796,2024,20431911
33,37,0.03210242183156689,2024,11005609
34,38,0.002275401581454853,2024,780071
35,39,0.03521457050272876,2024,12072541
36,40,0.012282084447419859,2024,4210642
37,41,0.012916723254020832,2024,4428214
